route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"0009","20331000033","20331033378","Cleunay","","0","09-35.2713407","0009-A-1372-1390","1",""
"0009","20331000039","20331033379","Cleunay","","0","09-35.2713694","0009-A-1372-1390","1",""
"0050","20331000039","20331003338","Rennes République","","0","50-5.2713470","0050-A-3301-1563","1",""
"0009","20331000052","20331033380","Cleunay","","0","09-35.2714299","0009-A-1372-1390","1",""
"0009","20331000015","20331033381","Saint-Laurent","","1","09-34.2713974","0009-B-1390-1372","1",""
"0009","20331000023","20331033382","Saint-Laurent","","1","09-34.2708253","0009-B-1390-1372","1",""
"0009","20331000025","20331033383","Saint-Laurent","","1","09-34.2713109","0009-B-1390-1372","1",""
"0009","20331000033","20331033384","Saint-Laurent","","1","09-34.2713405","0009-B-1390-1372","1",""
"0009","20331000039","20331033385","Saint-Laurent","","1","09-34.2713701","0009-B-1390-1372","1",""
"0009","20331000052","20331033386","Saint-Laurent","","1","09-34.2714297","0009-B-1390-1372","1",""
"0009","20331000015","20331033387","Cleunay","","0","09-36.2713972","0009-A-1372-1390","1",""
"0009","20331000023","20331033388","Cleunay","","0","09-36.2708251","0009-A-1372-1390","1",""
"0009","20331000025","20331033389","Cleunay","","0","09-36.2713107","0009-A-1372-1390","1",""
"0050","20331000052","20331003339","Rennes République","","0","50-5.2714072","0050-A-3301-1563","1",""
"0009","20331000033","20331033390","Cleunay","","0","09-36.2713403","0009-A-1372-1390","1",""
"0009","20331000039","20331033391","Cleunay","","0","09-36.2713699","0009-A-1372-1390","1",""
"0009","20331000052","20331033392","Cleunay","","0","09-36.2714295","0009-A-1372-1390","1",""
"0009","20331000015","20331033393","Saint-Laurent","","1","09-3.2713973","0009-B-1390-1372","1",""
"0009","20331000023","20331033394","Saint-Laurent","","1","09-3.2708252","0009-B-1390-1372","1",""
"0009","20331000025","20331033395","Saint-Laurent","","1","09-3.2713108","0009-B-1390-1372","1",""
"0009","20331000033","20331033396","Saint-Laurent","","1","09-3.2713404","0009-B-1390-1372","1",""
"0009","20331000039","20331033397","Saint-Laurent","","1","09-3.2713700","0009-B-1390-1372","1",""
"0009","20331000052","20331033398","Saint-Laurent","","1","09-3.2714296","0009-B-1390-1372","1",""
"0009","20331000015","20331033399","Cleunay","","0","09-32.2713971","0009-A-1372-1390","1",""
"0076","20331000037","20331000334","Rennes Lycée Basch","","1","76-1.2710658","0076-B-3851-1566","1",""
"0050","20331000015","20331003340","Rennes République","","0","50-4.2713772","0050-A-3301-1563","1",""
"0009","20331000023","20331033400","Cleunay","","0","09-32.2708250","0009-A-1372-1390","1",""
"0009","20331000025","20331033401","Cleunay","","0","09-32.2713106","0009-A-1372-1390","1",""
"0009","20331000033","20331033402","Cleunay","","0","09-32.2713402","0009-A-1372-1390","1",""
"0009","20331000039","20331033403","Cleunay","","0","09-32.2713698","0009-A-1372-1390","1",""
"0009","20331000052","20331033404","Cleunay","","0","09-32.2714294","0009-A-1372-1390","1",""
"0009","20331000015","20331033405","Saint-Laurent","","1","09-2.2713950","0009-B-1390-1372","1",""
